City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Weston,US,75.22,clear sky,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
74,Arraial Do Cabo,BR,75.97,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
84,Banda Aceh,ID,81.52,broken clouds,5.5577,95.3222,Sulthan Hotel International
96,Butaritari,KI,82.62,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
101,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
103,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Porto Belo,BR,78.78,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
112,Jacmel,HT,80.44,clear sky,18.2342,-72.5347,Historic Hotel Florita
121,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
124,Kavaratti,IN,77.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
141,Ambilobe,MG,75.42,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
145,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
156,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
159,Biak,ID,83.41,overcast clouds,-0.9131,122.8766,Penginapan Kim
171,Faanui,PF,80.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Villa Bruzual,VE,77.76,broken clouds,9.3328,-69.1208,hotel italia
175,Micheweni,TZ,79.0,overcast clouds,-4.9667,39.8333,
181,Mahanoro,MG,75.25,heavy intensity rain,-19.9,48.8,BUNGALOW MAHAMANINA
196,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
200,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
206,Farafangana,MG,77.31,moderate rain,-22.8167,47.8333,Miarina
208,Icatu,BR,81.03,heavy intensity rain,-2.7758,-44.0658,Hotel Guaxenduba
211,Cayenne,GF,79.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
228,Yeppoon,AU,83.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
239,Kaeo,NZ,77.32,light rain,-35.1,173.7833,Bushido Lodge
241,Mucurapo,TT,75.96,clear sky,10.6667,-61.5333,Courtyard by Marriott Port of Spain
256,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
263,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
264,Kupang,ID,83.26,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
