City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
514,Omaruru,NA,-21.4333,15.9333,69.55,61,91,4.5,overcast clouds,2022-02-05 02:04:26
515,Sangar,RU,63.9242,127.4739,-30.32,98,96,1.5,overcast clouds,2022-02-05 02:04:27
516,Cidreira,BR,-30.1811,-50.2056,73.0,91,17,4.16,few clouds,2022-02-05 02:04:27
517,Alta Floresta,BR,-9.8756,-56.0861,72.81,94,53,3.47,broken clouds,2022-02-05 02:04:27
518,Platanos,GR,37.6667,21.6167,46.08,72,3,5.08,clear sky,2022-02-05 02:04:28
519,Dongying,CN,37.4564,118.4856,28.47,30,3,10.8,clear sky,2022-02-05 02:04:28
520,Wanning,CN,18.8003,110.3967,65.5,83,100,10.98,overcast clouds,2022-02-05 02:04:28
521,Saint-Joseph,RE,-21.3667,55.6167,79.18,85,100,22.66,light rain,2022-02-05 02:04:29
522,Abu Dhabi,AE,24.4667,54.3667,64.96,87,0,1.01,clear sky,2022-02-05 02:04:07
523,Codrington,AU,-38.2667,141.9667,71.87,51,97,16.08,overcast clouds,2022-02-05 02:04:29
524,Mpulungu,ZM,-8.7623,31.1141,69.01,86,100,2.06,overcast clouds,2022-02-05 02:04:30
525,Bonnyville,CA,54.2668,-110.735,4.41,97,100,5.3,snow,2022-02-05 02:04:30
526,North Branch,US,45.5113,-92.9802,4.39,72,33,5.21,scattered clouds,2022-02-05 02:04:31
527,Haines Junction,CA,60.7522,-137.5108,1.85,99,100,1.92,overcast clouds,2022-02-05 02:04:14
528,Carbonia,IT,39.1672,8.5222,49.01,90,100,8.57,overcast clouds,2022-02-05 02:04:31
529,Laguna,US,38.421,-121.4238,59.5,55,0,0.0,clear sky,2022-02-05 02:04:32
530,Torbay,CA,47.6666,-52.7314,33.76,96,100,5.23,snow,2022-02-05 02:04:32
531,Eureka,US,40.8021,-124.1637,48.74,86,100,3.0,overcast clouds,2022-02-05 02:04:32
532,Itoman,JP,26.1247,127.6694,62.98,55,75,18.41,broken clouds,2022-02-05 02:04:33
533,Kirakira,SB,-10.4544,161.9205,84.25,75,100,6.15,overcast clouds,2022-02-05 02:04:33
534,Roxana,CR,10.2753,-83.7513,81.12,96,14,3.27,few clouds,2022-02-05 02:04:34
535,Alice Springs,AU,-23.7,133.8833,74.75,43,0,8.05,clear sky,2022-02-05 02:00:12
536,Arrecife,ES,28.963,-13.5477,66.27,77,0,10.36,clear sky,2022-02-05 02:04:34
537,Boende,CD,-0.2167,20.8667,70.18,77,100,2.55,overcast clouds,2022-02-05 02:04:35
538,Maningrida,AU,-12.0667,134.2667,87.76,61,70,8.72,broken clouds,2022-02-05 02:04:35
539,Port-Gentil,GA,-0.7193,8.7815,79.43,80,53,8.7,broken clouds,2022-02-05 02:04:35
540,Jaworzno,PL,50.2053,19.275,41.36,82,100,14.41,overcast clouds,2022-02-05 02:04:36
541,Lieksa,FI,63.3167,30.0167,18.14,82,100,19.01,overcast clouds,2022-02-05 02:04:36
542,Diffa,NE,13.3154,12.6113,61.65,40,4,11.61,clear sky,2022-02-05 02:04:37
543,Tura,IN,25.5198,90.2201,54.64,93,27,1.79,scattered clouds,2022-02-05 02:04:37
544,Bowen,AU,-20.0167,148.2333,84.92,59,94,18.84,overcast clouds,2022-02-05 02:04:37
545,Harper,LR,4.375,-7.7169,78.66,83,73,5.12,light rain,2022-02-05 02:04:38
546,Yulara,AU,-25.2406,130.9889,80.04,21,0,11.32,clear sky,2022-02-05 02:04:38
547,Dargaville,NZ,-35.9333,173.8833,83.07,50,94,11.1,overcast clouds,2022-02-05 02:04:39
548,Mayo,US,38.8876,-76.5119,37.78,83,100,7.0,light rain,2022-02-05 02:04:39
549,Mesyagutovo,RU,55.5303,58.2528,16.68,92,100,2.48,overcast clouds,2022-02-05 02:04:39
550,Ixtapa,MX,20.7,-105.2,72.63,73,75,5.75,broken clouds,2022-02-05 02:04:40
551,Goure,NE,13.9835,10.2704,55.53,21,1,10.98,clear sky,2022-02-05 02:04:40
552,Gualaquiza,EC,-3.4,-78.55,63.25,98,82,1.32,moderate rain,2022-02-05 02:04:41
553,Kargasok,RU,59.0556,80.8572,22.12,91,100,11.99,overcast clouds,2022-02-05 02:03:04
554,Saint-Francois,FR,46.4154,3.9054,42.24,87,100,12.66,overcast clouds,2022-02-05 02:04:41
555,Adre,TD,13.4667,22.2,58.32,24,6,19.8,clear sky,2022-02-05 02:04:42
556,Kilindoni,TZ,-7.9139,39.6668,74.5,92,100,14.0,heavy intensity rain,2022-02-05 02:04:42
557,Tanout,NE,14.9709,8.8879,53.4,22,0,13.76,clear sky,2022-02-05 02:04:43
558,Nogales,MX,31.3086,-110.9422,46.31,16,0,9.22,clear sky,2022-02-05 02:04:43
559,Nizhniy Odes,RU,63.6445,54.856,-9.65,100,100,1.32,overcast clouds,2022-02-05 02:05:43
560,Valparaiso,CL,-33.0393,-71.6273,62.24,88,0,4.61,clear sky,2022-02-05 02:05:44
561,Jurm,AF,36.8648,70.8342,20.39,30,0,7.58,clear sky,2022-02-05 02:05:44
562,Iberia,US,29.9502,-91.7507,39.27,75,40,11.5,scattered clouds,2022-02-05 02:05:45
563,Saavedra,PH,9.9852,123.3716,80.47,78,87,17.25,overcast clouds,2022-02-05 02:05:45
564,Inta,RU,66.0317,60.1659,2.07,98,100,5.35,overcast clouds,2022-02-05 02:05:46
565,Zhaoyuan,CN,37.3592,120.3964,28.26,39,5,17.2,clear sky,2022-02-05 02:05:46
566,Baghdad,IQ,33.3406,44.4009,51.76,66,43,8.32,scattered clouds,2022-02-05 02:02:04
567,Lokosovo,RU,61.1333,74.8167,8.08,98,100,4.92,overcast clouds,2022-02-05 02:05:47
568,El Fuerte,MX,26.4189,-108.6194,64.27,47,0,6.89,clear sky,2022-02-05 02:05:47
569,Kaniama,CD,-7.5667,24.1833,62.73,97,100,0.92,overcast clouds,2022-02-05 02:05:48
570,Pisco,PE,-13.7,-76.2167,66.25,82,0,9.22,clear sky,2022-02-05 02:05:48
571,Kon Tum,VN,14.35,108.0,70.99,72,100,7.18,overcast clouds,2022-02-05 02:05:49
572,Batagay-Alyta,RU,67.8006,130.4114,-22.54,97,71,1.63,broken clouds,2022-02-05 02:05:49
573,Lusaka,ZM,-15.4067,28.2871,62.28,99,100,3.76,light rain,2022-02-05 02:04:42
574,Kiunga,PG,-6.1219,141.2906,91.27,51,89,3.49,overcast clouds,2022-02-05 02:04:13
575,Khipro,PK,25.8285,69.3772,57.49,62,0,7.02,clear sky,2022-02-05 02:05:50
576,Aldan,RU,58.6031,125.3894,-4.36,94,100,2.73,overcast clouds,2022-02-05 02:05:50
577,Katsuura,JP,35.1333,140.3,47.19,42,96,12.48,overcast clouds,2022-02-05 02:05:50
578,Zhigansk,RU,66.7697,123.3711,-28.88,99,99,5.23,overcast clouds,2022-02-05 02:05:51
